"site_plot","time_of_day","aranet_co2_mean","aranet_co2_sd","aranet_co2_median","aranet_t_mean","aranet_t_sd","aranet_t_median","aranet_hpa_mean","aranet_hpa_sd","aranet_hpa_median","aranet_rh_mean","aranet_rh_sd","aranet_rh_median"
"N1_A","Daytime",486.369458128079,12.049342219383,487,21.5118226600985,1.15711166065842,21,947.504433497537,1.60362680812072,947.7,97.3563218390805,2.72600320765833,99
"N1_A","Nighttime",496.000793021412,10.5685649460757,496,20.653013481364,0.289319392789154,20.7,947.385085283618,0.959732768415996,947.3,98.7830226100754,0.682639998930165,99
"N1_B","Daytime",568.402407566638,156.056610232628,486,23.1812553740327,2.79333549203517,22.7,974.126031814273,35.2184743083131,952.3,71.5212811693895,25.0931050344018,85
"N1_B","Nighttime",565.990015974441,159.074165953421,503,22.025678913738,1.51373695830159,21.3,978.369522668264,31.9551590076968,952.2,71.9326942280807,26.6429849156718,93
"N3_A","Daytime",558.737613863586,139.164832021418,490,23.1386580759831,2.45127601668006,22.5,982.320573205954,30.0734675047666,968.6,75.168851366363,23.1822042522159,88
"N3_A","Nighttime",516.637058053252,114.240207555765,472,23.0801178524662,1.23604268298405,23,986.705674378001,24.617340867694,968.9,74.5918812745526,22.0708846823632,83
"N3_B","Daytime",597.906951871658,143.811619431898,524,23.3454759358289,2.66867002529407,22.5,982.476128342246,29.1432919695314,969.6,75.059679144385,22.2845523378102,85
"N3_B","Nighttime",551.196901661428,116.764220958455,506,22.9057027391109,1.24787132024684,22.7,985.838774135608,23.6945377498614,968.7,76.0709474629546,21.4755883252264,83
"N4_A","Daytime",535.71388650043,159.102866880547,450.5,24.0153482373173,2.55235205188152,22.8,968.434332084894,1.70087375339195,968.5,71.4606620808255,19.2090861798339,70
"N4_A","Nighttime",492.376987632509,118.025495370057,445,22.4590768551237,0.91382225613417,22.4,970.645566860465,10.7039077363001,968.4,77.5854681978799,21.3553922350853,92
"N4_B","Daytime",557.492867004142,131.208019449959,494,23.790243902439,2.4992899494056,22.8,982.538840312931,30.2851912060638,969,72.8382420616659,20.4960535883668,77
"N4_B","Nighttime",532.407462686567,110.993647341752,492,22.576908315565,0.893731776120088,22.5,987.307057569296,24.3440265043334,968.3,76.1411513859275,22.6707899498638,91
"N7_A","Daytime",483.038570848559,16.934351858136,483,22.2648396264718,1.69665833841829,21.3,951.788753552578,1.63736558950118,951.9,92.9013398294762,7.14941572711077,97
"N7_A","Nighttime",491.869411764706,15.6630556384496,491,21.0505688505296,0.492020980126765,21,951.71051392703,0.968717578432621,951.7,96.3150255001962,3.56494105953853,98
"N7_B","Daytime",513.107157464213,16.657200425046,512,22.0370143149284,1.48829588240781,21.2,NA,NA,NA,94.6128431828757,5.20706642445383,98
"N7_B","Nighttime",523.526315789474,15.746702487527,523,20.9309505106049,0.440468182672363,20.9,NA,NA,NA,97.4576103123451,2.54567654821809,99
"S1_A","Daytime",487.229981183358,90.4292392244473,447,24.8099519130253,2.89898258335557,24.2,940.450491323437,21.3036702183729,931.1,66.5973238553209,13.4978075403043,67
"S1_A","Nighttime",555.582397432959,168.886359058535,450,22.323658872077,2.48862205179309,21.7,946.515887207703,21.7895233310187,932.4,73.0641907381935,16.7984124409136,78
"S1_B","Daytime",541.769489513257,170.972959009038,453.5,24.0109418282548,2.76799814984575,23.4,945.46899485556,24.202638708659,933.4,69.3256826276217,13.6978355903576,72
"S1_B","Nighttime",611.552103559871,217.582104003336,473,22.028953613808,1.72152676019439,21.8,947.380302049622,20.2355219084949,934.5,72.8291262135922,15.166367482833,77
"S3_A","Daytime",491.142388059701,28.4842232131086,486,21.8461791044776,2.23631137105322,21.7,925.285358208955,17.4851987121146,921.1,83.4346268656716,13.0466704288898,85
"S3_A","Nighttime",489.010655378777,14.4944299503297,489,20.0274996350898,1.21048093649904,19.9,927.809299270073,23.8690295265889,921.1,88.6210218978102,14.0370896225084,93
"S3_B","Daytime",466.657175726201,23.3666573767855,463,21.8765458728789,1.99638478922415,21.8,923.422922059247,12.5053654886095,921.1,83.2906241012367,11.5918387100044,84
"S3_B","Nighttime",469.286528569443,14.7630452889602,468,20.2387321006534,1.18924483876734,20.2,928.276199082441,24.4974752543604,921.3,87.5132767968859,13.8909075005289,92
"S3_Source","Daytime",470.288580246914,20.8250058757124,465,22.6629783950617,3.96672703502821,21.7,925.695802469136,9.22686513705048,922.9,81.6015432098765,12.1382374690248,82
"S3_Source","Nighttime",474.321597633136,17.9625905696042,471,20.5913905325444,2.00731753990761,20.2,930.516094674556,13.8391620771631,923.4,85.4963017751479,12.2137828587754,87
"S4_A","Daytime",447.458878110502,9.89015264962759,448,21.2827498945593,2.03289282190381,20.9,915.413770560945,1.51457314944164,915.5,84.1343315056938,9.73963335473142,87
"S4_A","Nighttime",451.865592454313,9.17462560328465,452,19.4575948123403,0.830083556511447,19.5,915.390233837689,1.25910868551702,915.6,90.270190607192,5.56355305760854,92
"S4_B","Daytime",470.34104893056,37.1451879422609,461,21.9475241722824,2.97712163171717,21.4,919.883738646352,19.9054852270182,913.5,81.5770583064752,15.0525427364399,84
"S4_B","Nighttime",469.942721108065,20.7113685670256,467,19.9724426489684,2.3176740014924,19.6,920.407518037518,22.812464083912,913.4,87.8518037518038,15.6297025941867,94
"S4_Source","Daytime",457.388704318937,26.8831578395612,449,23.2426411960133,4.22429786765337,21.8,920.418272425249,12.3371803617287,915.5,77.3764119601329,13.7438838396175,79
"S4_Source","Nighttime",454.79538725261,20.376637303455,449,20.3791614713217,2.21376772915459,19.7,924.762780548628,17.2735891192085,915.2,84.6376246882793,11.900604708335,87
"S5_A","Daytime",442.955186304129,12.6926357609083,441,22.0177744209466,1.83253323912443,22.1,923.965810674723,1.64032361708917,924.1,81.2270896273917,9.45054544221654,80
"S5_A","Nighttime",449.806117021277,14.4663672222438,446,20.0217287234043,1.0111739064771,20.1,924.169095744681,1.30305358168687,924.3,88.2414893617021,6.59743369253284,87
"S5_B","Daytime",533.495991588908,147.742325372897,453,23.1883033250099,3.47037369153174,22.4,942.414824549875,30.8555634781475,926.9,71.8387435931134,16.50829515536,77
"S5_B","Nighttime",547.048702650201,162.698737715279,453,22.3442625225475,2.17792715083445,22.5,948.543624254197,30.1777903762356,928.9,71.8912168724851,17.8834413214627,75
"S5_Source","Daytime",439.677004095963,21.2976001162506,438,22.7475131655939,2.20875846313393,22.4,927.424488004681,3.92070139522216,927,79.8273844353423,10.4671421281247,80
"S5_Source","Nighttime",448.614749262537,17.2367855358359,445,20.4158997050147,0.790272261091608,20.5,927.194985250737,1.31683324427651,927.4,87.7483775811209,5.72190084929921,87
"S6_A","Daytime",543.123043818466,159.155991232453,459,24.0918231611894,3.08898859810343,23.2,942.568798904538,25.4737133356425,928.6,68.9100156494523,14.9265639098328,73.5
"S6_A","Nighttime",554.172981878089,178.193882497384,452,21.6950811955754,1.80761149623605,21.7,938.975965160075,17.3755566373686,928.4,74.0188279595199,15.6685334697617,76
"S6_B","Daytime",467.179148311307,73.1121839085785,436,23.4343612334802,2.90119109694576,23,936.259526431718,16.2079324604525,930.6,74.8105726872247,14.1282808057592,78
"S6_B","Nighttime",453.807292727643,60.0717170189024,436,21.2247147514262,1.3925412025302,20.9,933.953422982885,10.0831811741617,930.6,81.5996332518337,11.7221264839211,84
