"Sample.ID","Site.treatment","Site","Treatment","Sample","root_depth","X13CVPDB","Total.C","CComment","X15NAir","Total.N","NComment","Tray.Name","Well.Id","Type.of.Material","Analysis","Sample.Weight..mg..from.Sample.List","Internal.ID","Analysis.Number","Mass.Spec"
"N1CON2root15","N1CON","N1","CON",2,"15",-29.36,618.31,"",1.48,42.77,"","6RGOLDSMITH","D3","Root","13C, 15N",2.453,2162104,22095,"M"
"N1CON2root60","N1CON","N1","CON",2,"60",-27.56,484.07,"",1.93,27.79,"","7RGOLDSMITH","G12","Root","13C, 15N",2.653,2162245,22337,"M"
"N1CON4root15","N1CON","N1","CON",4,"15",-29.64,516.65,"",2.58,44.51,"","6RGOLDSMITH","A7","Root","13C, 15N",2.611,2162072,22050,"M"
"N1CON4root30","N1CON","N1","CON",4,"30",-28.39,263.94,"",3.52,25.09,"","5RGOLDSMITH","G12","Root","13C, 15N",2.273,2162053,21998,"M"
"N1CON4root60","N1CON","N1","CON",4,"60",-30.23,725.82,"",0.91,31.95,"","7RGOLDSMITH","A9","Root","13C, 15N",2.646,2162170,22210,"M"
"N1CON5root15","N1CON","N1","CON",5,"15",-29.77,648.66,"",1.39,41.42,"","6RGOLDSMITH","E4","Root","13C, 15N",2.319,2162117,22114,"M"
"N1CON5root30","N1CON","N1","CON",5,"30",-30.05,682.28,"",1.38,37.29,"","7RGOLDSMITH","E6","Root","13C, 15N",2.407,2162215,22297,"M"
"N1CON5root60","N1CON","N1","CON",5,"60",-29.99,322.35,"",0.99,23.59,"","6RGOLDSMITH","F2","Root","13C, 15N",2.401,2162127,22128,"M"
"N1CON6root15","N1CON","N1","CON",6,"15",-29.5,475.73,"",2.06,39.26,"","5RGOLDSMITH","F7","Root","13C, 15N",2.754,2162036,21975,"M"
"N1CON6root30","N1CON","N1","CON",6,"30",-27.61,186.63,"",5.26,20.5,"","7RGOLDSMITH","G6","Root","13C, 15N",2.168,2162239,22331,"M"
"N1CON6root60","N1CON","N1","CON",6,"60",-30.6,620.96,"",-0.08,36.78,"","5RGOLDSMITH","F9","Root","13C, 15N",2.729,2162038,21977,"M"
"N1CON7root15","N1CON","N1","CON",7,"15",-29.36,472.44,"",2.24,42.42,"","5RGOLDSMITH","E11","Root","13C, 15N",2.627,2162028,21964,"M"
"N1CON7root30","N1CON","N1","CON",7,"30",-28.89,538.57,"",0.72,35.55,"","5RGOLDSMITH","E10","Root","13C, 15N",2.727,2162027,21963,"M"
"N1CON7root60","N1CON","N1","CON",7,"60",-31.3,985.13,"",-0.83,19.92,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","E8","Root","13C, 15N",2.21,2162025,21961,"M"
"N1CON8root15","N1CON","N1","CON",8,"15",-29.93,568.86,"",2.02,42.98,"","6RGOLDSMITH","F8","Root","13C, 15N",2.568,2162133,22134,"M"
"N1CON8root30","N1CON","N1","CON",8,"30",-29.02,405.67,"",3.22,36.73,"","7RGOLDSMITH","D11","Root","13C, 15N",2.696,2162208,22261,"M"
"N1CON8root60","N1CON","N1","CON",8,"60",-29.65,334.45,"",2.67,20.85,"","7RGOLDSMITH","G8","Root","13C, 15N",2.298,2162241,22333,"M"
"N1CON9root15","N1CON","N1","CON",9,"15",-28.72,390.04,"",3.6,38.92,"","6RGOLDSMITH","A6","Root","13C, 15N",2.33,2162071,22049,"M"
"N1CON9root60","N1CON","N1","CON",9,"60",-31.52,642.05,"",1.06,29.98,"","6RGOLDSMITH","D7","Root","13C, 15N",2.311,2162108,22099,"M"
"N2CO210root15","N2CO2","N2","CO2",10,"15",-29.02,328.77,"",3.4,23.73,"","8LRGOLDSMITH","A11","Root","13C, 15N",2.092,2162268,22369,"M"
"N2CO21root15","N2CO2","N2","CO2",1,"15",-30.3,479.8,"",1.85,33.82,"","7RGOLDSMITH","A12","Root","13C, 15N",2.4,2162173,22213,"M"
"N2CO21root60","N2CO2","N2","CO2",1,"60",-26.4,225.71,"",6.24,21.1,"","7RGOLDSMITH","B7","Root","13C, 15N",2.865,2162180,22223,"M"
"N2CO22root15","N2CO2","N2","CO2",2,"15",-29.79,736.43,"",1.2,38.32,"","8LRGOLDSMITH","C7","Root","13C, 15N",2.71,2162288,25900,"M"
"N2CO22root30","N2CO2","N2","CO2",2,"30",-30.47,464.3,"",1.52,31.02,"","6RGOLDSMITH","F4","Root","13C, 15N",2.44,2162129,22130,"M"
"N2CO22root60","N2CO2","N2","CO2",2,"60",-30.63,485.16,"",3.68,25.73,"","7RGOLDSMITH","H8","Root","13C, 15N",2.729,2162253,22348,"M"
"N2CO23root15","N2CO2","N2","CO2",3,"15",-29.61,789.8,"",1.42,45.05,"","5RGOLDSMITH","E12","Root","13C, 15N",2.871,2162029,21965,"M"
"N2CO23root30","N2CO2","N2","CO2",3,"30",-29.84,630.48,"",1.49,28.7,"","5RGOLDSMITH","D5","Root","13C, 15N",2.199,2162010,21942,"M"
"N2CO23root60","N2CO2","N2","CO2",3,"60",-27.04,239.82,"",6.23,18.55,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","F2","Root","13C, 15N",2.632,2162223,22311,"M"
"N2CO24root15","N2CO2","N2","CO2",4,"15",-29.58,83.87,"Precision decreases for samples containing less than 100ugC",2.14,6.96,"Contained less nitrogen than smallest reference","8LRGOLDSMITH","B4","Root","13C, 15N",2.437,2162273,22378,"M"
"N2CO24root60","N2CO2","N2","CO2",4,"60",-29.24,608.64,"",0.58,28.64,"","7RGOLDSMITH","B10","Root","13C, 15N",2.348,2162183,22226,"M"
"N2CO25root15","N2CO2","N2","CO2",5,"15",-28.44,474.03,"",2.67,31.55,"","5RGOLDSMITH","D1","Root","13C, 15N",2.587,2162006,21938,"M"
"N2CO25root30","N2CO2","N2","CO2",5,"30",-27.21,446.13,"",3.25,25.84,"","8LRGOLDSMITH","B3","Root","13C, 15N",2.261,2162272,22377,"M"
"N2CO25root60","N2CO2","N2","CO2",5,"60",-27.64,284.87,"",3.43,20.34,"","5RGOLDSMITH","D10","Root","13C, 15N",2.481,2162015,21947,"M"
"N2CO26root15","N2CO2","N2","CO2",6,"15",-29.55,708.01,"",0.18,46.02,"","6RGOLDSMITH","B12","Root","13C, 15N",2.544,2162089,22073,"M"
"N2CO26root30","N2CO2","N2","CO2",6,"30",-29.85,604.93,"",1.89,34.69,"","6RGOLDSMITH","H10","Root","13C, 15N",2.498,2162159,22195,"M"
"N2CO26root60","N2CO2","N2","CO2",6,"60",-27.9,357.84,"",3.91,22.7,"","6RGOLDSMITH","E9","Root","13C, 15N",2.399,2162122,22119,"M"
"N2CO27root15","N2CO2","N2","CO2",7,"15",-27.92,577.9,"",2.22,39.76,"","7RGOLDSMITH","B2","Root","13C, 15N",2.421,2162175,22218,"M"
"N2CO27root30","N2CO2","N2","CO2",7,"30",-27.95,334.56,"",3.66,27.15,"","5RGOLDSMITH","C10","Root","13C, 15N",2.399,2162003,21929,"M"
"N2CO27root60","N2CO2","N2","CO2",7,"60",-27.51,337.44,"",3.96,24.96,"","7RGOLDSMITH","B5","Root","13C, 15N",2.924,2162178,22221,"M"
"N2CO28root15","N2CO2","N2","CO2",8,"15",-29.82,209.02,"",2.9,15.07,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","H6","Root","13C, 15N",2.092,2162251,22346,"M"
"N2CO28root30","N2CO2","N2","CO2",8,"30",-27.82,321.03,"",4.82,24.06,"","7RGOLDSMITH","F11","Root","13C, 15N",2.878,2162232,22320,"M"
"N2CO28root60","N2CO2","N2","CO2",8,"60",-27.64,135.46,"",5.01,14.51,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","C11","Root","13C, 15N",2.445,2162100,22088,"M"
"N2CO29root15","N2CO2","N2","CO2",9,"15",-30.87,597.95,"",0.27,37.82,"","6RGOLDSMITH","H11","Root","13C, 15N",2.389,2162160,22196,"M"
"N2CO29root30","N2CO2","N2","CO2",9,"30",-28.73,429.19,"",1.49,23.02,"","5RGOLDSMITH","F1","Root","13C, 15N",2.551,2162030,21969,"M"
"N2CO29root60","N2CO2","N2","CO2",9,"60",-29.28,763.64,"",0.73,34.77,"","6RGOLDSMITH","C1","Root","13C, 15N",2.161,2162090,22078,"M"
"N2CON10root15","N2CON","N2","CON",10,"15",-29.84,898.93,"",0.96,36.66,"","5RGOLDSMITH","H5","Root","13C, 15N",2.962,2162058,22007,"M"
"N2CON10root30","N2CON","N2","CON",10,"30",-29.08,710.29,"",0.63,22.86,"","6RGOLDSMITH","C3","Root","13C, 15N",2.504,2162092,22080,"M"
"N2CON10root60","N2CON","N2","CON",10,"60",-30.89,491.61,"",2.5,22.52,"","5RGOLDSMITH","D12","Root","13C, 15N",2.331,2162017,21949,"M"
"N2CON1root15","N2CON","N2","CON",1,"15",-29.04,794.66,"",2.03,53.98,"","7RGOLDSMITH","F5","Root","13C, 15N",2.981,2162226,22314,"M"
"N2CON1root60","N2CON","N2","CON",1,"60",-27.62,367.31,"",3.38,26.87,"","6RGOLDSMITH","D2","Root","13C, 15N",2.842,2162103,22094,"M"
"N2CON2root15","N2CON","N2","CON",2,"15",-29.86,613.27,"",2.56,33.53,"","7RGOLDSMITH","E9","Root","13C, 15N",2.783,2162218,22300,"M"
"N2CON2root60","N2CON","N2","CON",2,"60",-29.37,399.78,"",2.32,31.49,"","5RGOLDSMITH","F6","Root","13C, 15N",2.503,2162035,21974,"M"
"N2CON2root60d","N2CON","N2","CON",2,"60",-29.39,466.15,"",2.42,22.2,"","6RGOLDSMITH","E11","Root","13C, 15N",2.737,2162124,22121,"M"
"N2CON3root15","N2CON","N2","CON",3,"15",-30.59,1052.98,"",-1.26,34.5,"","3RGOLDSMITH","H8","Root","13C, 15N",2.676,2161869,22441,"M"
"N2CON3root60","N2CON","N2","CON",3,"60",-29.53,446.13,"",2.33,25.2,"","7RGOLDSMITH","E11","Root","13C, 15N",2.398,2162220,22302,"M"
"N2CON4root15","N2CON","N2","CON",4,"15",-28.36,439.85,"",1.7,35.96,"","6RGOLDSMITH","F3","Root","13C, 15N",2.192,2162128,22129,"M"
"N2CON4root30","N2CON","N2","CON",4,"30",-28.71,382.97,"",2.71,25.98,"","6RGOLDSMITH","C12","Root","13C, 15N",2.015,2162101,22089,"M"
"N2CON4root60","N2CON","N2","CON",4,"60",-27.33,283.39,"",3.91,20.81,"","5RGOLDSMITH","H3","Root","13C, 15N",2.491,2162056,22005,"M"
"N2CON5root15","N2CON","N2","CON",5,"15",-28.94,625.68,"",2.89,47.51,"","6RGOLDSMITH","D6","Root","13C, 15N",2.862,2162107,22098,"M"
"N2CON5root30","N2CON","N2","CON",5,"30",-31.21,834.78,"",2.88,45.97,"","6RGOLDSMITH","D1","Root","13C, 15N",2.865,2162102,22093,"M"
"N2CON5root60","N2CON","N2","CON",5,"60",-30.66,478.71,"",1.62,22.77,"","6RGOLDSMITH","H3","Root","13C, 15N",2.897,2162152,22188,"M"
"N2CON6root15","N2CON","N2","CON",6,"15",-29.2,700.9,"",2.63,53.71,"","5RGOLDSMITH","E1","Root","13C, 15N",2.839,2162018,21954,"M"
"N2CON6root30","N2CON","N2","CON",6,"30",-27.34,261.32,"",4.85,25.1,"","5RGOLDSMITH","C11","Root","13C, 15N",2.824,2162004,21930,"M"
"N2CON7root15","N2CON","N2","CON",7,"15",-28.7,621.11,"",0.5,44.2,"","8LRGOLDSMITH","B5","Root","13C, 15N",2.712,2162274,22379,"M"
"N2CON7root30","N2CON","N2","CON",7,"30",-28.88,630.59,"",1.61,43.72,"","5RGOLDSMITH","E2","Root","13C, 15N",2.676,2162019,21955,"M"
"N2CON8root15","N2CON","N2","CON",8,"15",-28.68,510.9,"",1.03,35.49,"","5RGOLDSMITH","G6","Root","13C, 15N",2.624,2162047,21992,"M"
"N2CON8root30","N2CON","N2","CON",8,"30",-28.2,564.99,"",1.69,35.16,"","5RGOLDSMITH","G4","Root","13C, 15N",2.656,2162045,21990,"M"
"N2CON8root60","N2CON","N2","CON",8,"60",-28.89,323.98,"",2.33,26.14,"","6RGOLDSMITH","E5","Root","13C, 15N",2.655,2162118,22115,"M"
"N2CON8root60d","N2CON","N2","CON",8,"60",-29.07,530.59,"",1.77,28.78,"","6RGOLDSMITH","H5","Root","13C, 15N",2.127,2162154,22190,"M"
