"Sample.ID","Site.treatment","Site","Treatment","Sample","root_depth","X13CVPDB","Total.C","CComment","X15NAir","Total.N","NComment","Tray.Name","Well.Id","Type.of.Material","Analysis","Sample.Weight..mg..from.Sample.List","Internal.ID","Analysis.Number","Mass.Spec"
"N3CON6root60","N3CON","N3","CON",6,"60",-30.92,404.29,"",-2.23,16.26,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","A5","Root","13C, 15N",2.528,2162070,22048,"M"
"N3CON7root15","N3CON","N3","CON",7,"15",-30.2,594.65,"",2.16,45.62,"","8LRGOLDSMITH","B7","Root","13C, 15N",2.942,2162276,22381,"M"
"N3CON7root30","N3CON","N3","CON",7,"30",-30.62,728.31,"",0.88,29.85,"","7RGOLDSMITH","F1","Root","13C, 15N",2.407,2162222,22310,"M"
"N3CON7root60","N3CON","N3","CON",7,"60",-29.42,88.19,"Precision decreases for samples containing less than 100ugC",-1.85,8.44,"Contained less nitrogen than smallest reference","7RGOLDSMITH","D10","Root","13C, 15N",2.564,2162207,22260,"M"
"N3CON8root15","N3CON","N3","CON",8,"15",-29.72,809.47,"",1.08,54.76,"","5RGOLDSMITH","G1","Root","13C, 15N",2.034,2162042,21987,"M"
"N3CON8root30","N3CON","N3","CON",8,"30",-29.19,216.12,"",1.64,15.56,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","G2","Root","13C, 15N",2.383,2162235,22327,"M"
"N3CON8root60","N3CON","N3","CON",8,"60",-29.31,159.76,"",0.03,11.37,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","D12","Root","13C, 15N",2.072,2162209,22262,"M"
"N3CON9root30","N3CON","N3","CON",9,"30",-28.88,529.61,"",1.24,34.54,"","7RGOLDSMITH","C1","Root","13C, 15N",2.523,2162186,22235,"M"
"N4CO210root15","N4CO2","N4","CO2",10,"15",-25.49,702.53,"",-0.52,27.84,"","7RGOLDSMITH","E1","Root","13C, 15N",2.401,2162210,22292,"M"
"N4CO21root15","N4CO2","N4","CO2",1,"15",-26.53,816.41,"",0.8,39.94,"","7RGOLDSMITH","F6","Root","13C, 15N",2.571,2162227,22315,"M"
"N4CO21root30","N4CO2","N4","CO2",1,"30",-13.15,396.46,"",3.14,10.31,"Contained less nitrogen than smallest reference","6RGOLDSMITH","F11","Root","13C, 15N",2.321,2162136,22137,"M"
"N4CO22root15","N4CO2","N4","CO2",2,"15",-26.23,705.76,"",-0.96,32.06,"","6RGOLDSMITH","G10","Root","13C, 15N",2.209,2162147,22177,"M"
"N4CO22root30","N4CO2","N4","CO2",2,"30",-23.4,673.28,"",-0.06,21.22,"","6RGOLDSMITH","H4","Root","13C, 15N",2.49,2162153,22189,"M"
"N4CO23root15","N4CO2","N4","CO2",3,"15",-18.57,580.84,"",0.85,35.7,"","6RGOLDSMITH","H12","Root","13C, 15N",2.702,2162161,22197,"M"
"N4CO23root30","N4CO2","N4","CO2",3,"30",-27.4,738.21,"",-1.55,29.76,"","6RGOLDSMITH","F5","Root","13C, 15N",2.644,2162130,22131,"M"
"N4CO24root15","N4CO2","N4","CO2",4,"15",-28.61,629.35,"",0.57,42.63,"","5RGOLDSMITH","H12","Root","13C, 15N",2.086,2162065,22014,"M"
"N4CO24root30","N4CO2","N4","CO2",4,"30",-29.25,333.4,"",-0.97,16.14,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","B1","Root","13C, 15N",2.224,2162174,22217,"M"
"N4CO24root60","N4CO2","N4","CO2",4,"60",-31.68,224.62,"",2.61,15.08,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","G8","Root","13C, 15N",2.091,2162145,22175,"M"
"N4CO25root15","N4CO2","N4","CO2",5,"15",-28.48,715.57,"",0.77,42.44,"","7RGOLDSMITH","A11","Root","13C, 15N",2.466,2162172,22212,"M"
"N4CO25root30","N4CO2","N4","CO2",5,"30",-29.13,391.57,"",0.37,23.1,"","6RGOLDSMITH","A11","Root","13C, 15N",2.179,2162076,22054,"M"
"N4CO25root60","N4CO2","N4","CO2",5,"60",-31.52,300.59,"",-0.65,17.35,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","A8","Root","13C, 15N",2.751,2162169,22209,"M"
"N4CO26root15","N4CO2","N4","CO2",6,"15",-29.47,993.51,"",1.62,40.45,"","7RGOLDSMITH","G11","Root","13C, 15N",2.401,2162244,22336,"M"
"N4CO26root30","N4CO2","N4","CO2",6,"30",-24.35,380.7,"",3.6,20.74,"","7RGOLDSMITH","E12","Root","13C, 15N",2.731,2162221,22303,"M"
"N4CO27root15","N4CO2","N4","CO2",7,"15",-29.98,871.63,"",1.31,42.37,"","7RGOLDSMITH","G4","Root","13C, 15N",2.254,2162237,22329,"M"
"N4CO27root30","N4CO2","N4","CO2",7,"30",-26.91,358.67,"",4.22,21.16,"","8LRGOLDSMITH","B2","Root","13C, 15N",2.976,2162271,22376,"M"
"N4CO28root15","N4CO2","N4","CO2",8,"15",-22.02,719.49,"",0.7,32.45,"","7RGOLDSMITH","C10","Root","13C, 15N",2.958,2162195,22244,"M"
"N4CO28root30","N4CO2","N4","CO2",8,"30",-27.85,346.81,"",2.37,20.77,"","6RGOLDSMITH","H8","Root","13C, 15N",2.196,2162157,22193,"M"
"N4CO28root30d","N4CO2","N4","CO2",8,"30",-13.48,249.14,"",4.59,13.29,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","C3","Root","13C, 15N",2.516,2162188,22237,"M"
"N4CO28root60","N4CO2","N4","CO2",8,"60",-26.85,275.52,"",1.09,17.32,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","H7","Root","13C, 15N",2.011,2162156,22192,"M"
"N4CO29root15","N4CO2","N4","CO2",9,"15",-25.94,679.17,"",0.8,37.06,"","5RGOLDSMITH","D3","Root","13C, 15N",2.199,2162008,21940,"M"
"N4CO29root30","N4CO2","N4","CO2",9,"30",-21.16,544,"",1.07,20.84,"","7RGOLDSMITH","F10","Root","13C, 15N",2.415,2162231,22319,"M"
"N4CON10root15","N4CON","N4","CON",10,"15",-14.91,320.61,"",0.23,14.29,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","B4","Root","13C, 15N",2.178,2162081,22065,"M"
"N4CON10root30","N4CON","N4","CON",10,"30",-20.64,309.79,"",1.99,17.19,"Precision decreases for samples containing less than 20ugN","8LRGOLDSMITH","B9","Root","13C, 15N",2.603,2162278,22383,"M"
"N4CON10root60","N4CON","N4","CON",10,"60",-24.44,293.93,"",2.67,17.22,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","B2","Root","13C, 15N",2.362,2162079,22063,"M"
"N4CON1root15","N4CON","N4","CON",1,"15",-29.35,506.3,"",3.03,36.19,"","7RGOLDSMITH","E3","Root","13C, 15N",2.265,2162212,22294,"M"
"N4CON1root30","N4CON","N4","CON",1,"30",-29.38,426.23,"",3.09,21.86,"","4RGOLDSMITH","G4","Root","13C, 15N",2.439,2161949,22453,"M"
"N4CON1root60","N4CON","N4","CON",1,"60",-24.98,208.6,"",1.86,14.85,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","C12","Root","13C, 15N",2.991,2162197,22246,"M"
"N4CON2root15","N4CON","N4","CON",2,"15",-30.98,878.64,"",2.02,45.16,"","7RGOLDSMITH","B4","Root","13C, 15N",2.768,2162177,22220,"M"
"N4CON2root30","N4CON","N4","CON",2,"30",-29.23,660.09,"",1.81,32.42,"","7RGOLDSMITH","C8","Root","13C, 15N",2.954,2162193,22242,"M"
"N4CON2root60","N4CON","N4","CON",2,"60",-26.95,188.25,"",1.49,14.01,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","E4","Root","13C, 15N",2.179,2162021,21957,"M"
"N4CON3root15","N4CON","N4","CON",3,"15",-28.18,657.25,"",1.2,29.48,"","7RGOLDSMITH","B9","Root","13C, 15N",2.257,2162182,22225,"M"
"N4CON3root30","N4CON","N4","CON",3,"30",-28.84,124.34,"",1.16,8.54,"Contained less nitrogen than smallest reference","7RGOLDSMITH","A2","Root","13C, 15N",2.758,2162163,22203,"M"
"N4CON4root15","N4CON","N4","CON",4,"15",-26.44,639.4,"",1.72,39.41,"","7RGOLDSMITH","F8","Root","13C, 15N",2.925,2162229,22317,"M"
"N4CON4root30","N4CON","N4","CON",4,"30",-28.51,256.56,"",1.63,20.76,"","7RGOLDSMITH","C6","Root","13C, 15N",2.271,2162191,22240,"M"
"N4CON5root15","N4CON","N4","CON",5,"15",-26.63,369.8,"",2,24.1,"","7RGOLDSMITH","G9","Root","13C, 15N",2.071,2162242,22334,"M"
"N4CON6root15","N4CON","N4","CON",6,"15",-28,428.06,"",3.08,34.51,"","5RGOLDSMITH","E7","Root","13C, 15N",2.434,2162024,21960,"M"
"N4CON6root30","N4CON","N4","CON",6,"30",-27.04,268.75,"",4.43,22.56,"","7RGOLDSMITH","E2","Root","13C, 15N",2.861,2162211,22293,"M"
"N4CON6root60","N4CON","N4","CON",6,"60",-28.48,179.64,"",2.32,14.9,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","E4","Root","13C, 15N",2.474,2162213,22295,"M"
"N4CON7root15","N4CON","N4","CON",7,"15",-29.2,512.73,"",2.99,38.45,"","7RGOLDSMITH","G10","Root","13C, 15N",2.351,2162243,22335,"M"
"N4CON7root30","N4CON","N4","CON",7,"30",-29.25,442.08,"",3.92,27.07,"","7RGOLDSMITH","D1","Root","13C, 15N",2.232,2162198,22251,"M"
"N4CON7root60","N4CON","N4","CON",7,"60",-29.13,251.94,"",3.03,18.68,"Precision decreases for samples containing less than 20ugN","8LRGOLDSMITH","B1","Root","13C, 15N",2.669,2162270,22375,"M"
"N4CON8root15","N4CON","N4","CON",8,"15",-31.06,683.02,"",1.14,29.04,"","5RGOLDSMITH","D8","Root","13C, 15N",2.076,2162013,21945,"M"
"N4CON8root30","N4CON","N4","CON",8,"30",-29.54,263.73,"",4.95,16.18,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","F3","Root","13C, 15N",2.215,2162224,22312,"M"
"N4CON8root60","N4CON","N4","CON",8,"60",-29.9,393.36,"",2.12,16.51,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","D3","Root","13C, 15N",2.584,2162200,22253,"M"
"N4CON9root15","N4CON","N4","CON",9,"15",-30.02,963.66,"",0.51,35.53,"","6RGOLDSMITH","G1","Root","13C, 15N",2.954,2162138,22168,"M"
"N4CON9root30","N4CON","N4","CON",9,"30",-30.08,559.32,"",1.23,29.39,"","5RGOLDSMITH","F3","Root","13C, 15N",2.552,2162032,21971,"M"
"N4CON9root60","N4CON","N4","CON",9,"60",-28.48,216.01,"",2.66,14.82,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","D6","Root","13C, 15N",2.121,2162203,22256,"M"
"N7CO210root15","N7CO2","N7","CO2",10,"15",-30.01,667.43,"",0.75,36.56,"","4RGOLDSMITH","E11","Root","13C, 15N",2.037,2161932,22620,"M"
"N7CO210root30","N7CO2","N7","CO2",10,"30",-29.65,702.82,"",1.75,32.8,"","6RGOLDSMITH","F10","Root","13C, 15N",2.691,2162135,22136,"M"
"N7CO21root15","N7CO2","N7","CO2",1,"15",-31.14,830.46,"",1.57,37.86,"","6RGOLDSMITH","C8","Root","13C, 15N",2.746,2162097,22085,"M"
"N7CO21root30","N7CO2","N7","CO2",1,"30",-29.83,340.75,"",3.09,23.61,"","6RGOLDSMITH","B11","Root","13C, 15N",2.328,2162088,22072,"M"
"N7CO21root60","N7CO2","N7","CO2",1,"60",-29.65,447.75,"",2.32,18.15,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","G2","Root","13C, 15N",2.101,2162139,22169,"M"
"N7CO22root15","N7CO2","N7","CO2",2,"15",-29.86,400.81,"",1.71,30.59,"","6RGOLDSMITH","B5","Root","13C, 15N",2.66,2162082,22066,"M"
"N7CO22root30","N7CO2","N7","CO2",2,"30",-29.27,770.24,"",2.28,26.14,"","6RGOLDSMITH","D11","Root","13C, 15N",2.653,2162112,22103,"M"
"N7CO22root60","N7CO2","N7","CO2",2,"60",-29.89,295.14,"",2.29,15.51,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","G11","Root","13C, 15N",2.446,2162148,22178,"M"
"N7CO23root15","N7CO2","N7","CO2",3,"15",-29.94,526.31,"",1.96,38.06,"","6RGOLDSMITH","D8","Root","13C, 15N",2.792,2162109,22100,"M"
"N7CO23root30","N7CO2","N7","CO2",3,"30",-27.81,298.3,"",3.66,23.5,"","7RGOLDSMITH","C9","Root","13C, 15N",2.553,2162194,22243,"M"
"N7CO24root15","N7CO2","N7","CO2",4,"15",-29.73,589.58,"",1.68,35.77,"","5RGOLDSMITH","H8","Root","13C, 15N",2.963,2162061,22010,"M"
"N7CO24root30","N7CO2","N7","CO2",4,"30",-30.19,668.92,"",2.25,24.85,"","6RGOLDSMITH","E12","Root","13C, 15N",2.741,2162125,22122,"M"
"N7CO24root60","N7CO2","N7","CO2",4,"60",-28.99,249.57,"",4.58,10.38,"Precision decreases for samples containing less than 20ugN","8LRGOLDSMITH","C3","Root","13C, 15N",2.496,2162284,25896,"M"
"N7CO25root15","N7CO2","N7","CO2",5,"15",-29.12,437.67,"",2.6,34.28,"","6RGOLDSMITH","D10","Root","13C, 15N",2.978,2162111,22102,"M"
"N7CO25root30","N7CO2","N7","CO2",5,"30",-29.5,418.86,"",2.07,20.66,"","6RGOLDSMITH","C9","Root","13C, 15N",2.186,2162098,22086,"M"
"N7CO25root60","N7CO2","N7","CO2",5,"60",-29.16,438.43,"",2.86,18.85,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","E1","Root","13C, 15N",2.255,2162114,22111,"M"
"N7CO26root15","N7CO2","N7","CO2",6,"15",-31.17,780.19,"",1.2,41.85,"","6RGOLDSMITH","C7","Root","13C, 15N",2.516,2162096,22084,"M"
"N7CO26root30","N7CO2","N7","CO2",6,"30",-28.54,203.83,"",3.99,18.24,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","A10","Root","13C, 15N",2.481,2161979,22492,"M"
"N7CO26root60","N7CO2","N7","CO2",6,"60",-28.59,380.76,"",3.04,17.71,"Precision decreases for samples containing less than 20ugN","3RGOLDSMITH","G10","Root","13C, 15N",2.915,2161859,22425,"M"
"N7CO27root15","N7CO2","N7","CO2",7,"15",-30.25,900.45,"",1.24,50.32,"","6RGOLDSMITH","B3","Root","13C, 15N",2.879,2162080,22064,"M"
"N7CO27root30","N7CO2","N7","CO2",7,"30",-28.48,366.33,"",3.85,25.98,"","6RGOLDSMITH","B8","Root","13C, 15N",2.343,2162085,22069,"M"
"N7CO27root60","N7CO2","N7","CO2",7,"60",-28.91,466.04,"",4.04,18.14,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","A3","Root","13C, 15N",2.534,2162068,22046,"M"
"N7CO28root15","N7CO2","N7","CO2",8,"15",-28.89,632.94,"",1.98,38,"","6RGOLDSMITH","B1","Root","13C, 15N",2.806,2162078,22062,"M"
"N7CO28root30","N7CO2","N7","CO2",8,"30",-31.5,512.93,"",0.33,24.75,"","6RGOLDSMITH","G12","Root","13C, 15N",2.174,2162149,22179,"M"
"N7CO28root60","N7CO2","N7","CO2",8,"60",-29.09,500.15,"",1.99,19.84,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","A10","Root","13C, 15N",2.222,2162075,22053,"M"
"N7CO29root15","N7CO2","N7","CO2",9,"15",-28.83,602.26,"",2.04,39.05,"","6RGOLDSMITH","F12","Root","13C, 15N",2.743,2162137,22138,"M"
"N7CO29root30","N7CO2","N7","CO2",9,"30",-28.69,410.63,"",3.16,25.71,"","8LRGOLDSMITH","C1","Root","13C, 15N",2.731,2162282,25894,"M"
"N7CO29root60","N7CO2","N7","CO2",9,"60",-31.32,398.64,"",2.31,21.66,"","5RGOLDSMITH","H9","Root","13C, 15N",2.543,2162062,22011,"M"
"N7CON10root15","N7CON","N7","CON",10,"15",-28.28,349.69,"",3.49,30.09,"","4RGOLDSMITH","D7","Root","13C, 15N",2.591,2161916,22598,"M"
"N7CON10root30","N7CON","N7","CON",10,"30",-28.71,287.5,"",3.8,22.57,"","6RGOLDSMITH","D4","Root","13C, 15N",2.505,2162105,22096,"M"
"N7CON10root60","N7CON","N7","CON",10,"60",-28.36,276.11,"",2.78,20.67,"","5RGOLDSMITH","F11","Root","13C, 15N",2.932,2162040,21979,"M"
"N7CON1root15","N7CON","N7","CON",1,"15",-28.29,258.98,"",3.62,25.43,"","4RGOLDSMITH","C10","Root","13C, 15N",2.547,2161907,22586,"M"
"N7CON1root30","N7CON","N7","CON",1,"30",-29.28,328.87,"",2.87,24.58,"","4RGOLDSMITH","G11","Root","13C, 15N",2.302,2161956,22460,"M"
"N7CON1root60","N7CON","N7","CON",1,"60",-27.6,273.78,"",3.87,19.75,"Precision decreases for samples containing less than 20ugN","7RGOLDSMITH","B8","Root","13C, 15N",2.723,2162181,22224,"M"
"N7CON2root15","N7CON","N7","CON",2,"15",-29.91,586.86,"",2,40.48,"","5RGOLDSMITH","G11","Root","13C, 15N",2.663,2162052,21997,"M"
"N7CON2root30","N7CON","N7","CON",2,"30",-29.61,811.28,"",1.46,26.97,"","5RGOLDSMITH","G3","Root","13C, 15N",2.673,2162044,21989,"M"
"N7CON2root60","N7CON","N7","CON",2,"60",-29.63,504.43,"",1.98,17.75,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","G6","Root","13C, 15N",2.461,2162143,22173,"M"
"N7CON3root15","N7CON","N7","CON",3,"15",-29.18,477.36,"",2.36,23.54,"","4RGOLDSMITH","C6","Root","13C, 15N",2.997,2161903,22582,"M"
"N7CON3root15d","N7CON","N7","CON",3,"15",-29.66,627.42,"",1.35,48.73,"","5RGOLDSMITH","G8","Root","13C, 15N",2.611,2162049,21994,"M"
"N7CON3root30","N7CON","N7","CON",3,"30",-29.2,670.22,"",1.46,39.51,"","6RGOLDSMITH","A8","Root","13C, 15N",2.626,2162073,22051,"M"
"N7CON3root30d","N7CON","N7","CON",3,"30",-29.19,291.96,"",3.19,23.41,"","6RGOLDSMITH","B9","Root","13C, 15N",2.331,2162086,22070,"M"
"N7CON3root60","N7CON","N7","CON",3,"60",-29.23,307.04,"",2.96,20.87,"","5RGOLDSMITH","H7","Root","13C, 15N",2.74,2162060,22009,"M"
"N7CON3root60d","N7CON","N7","CON",3,"60",-27.7,284.34,"",2.77,25.8,"","6RGOLDSMITH","F7","Root","13C, 15N",2.263,2162132,22133,"M"
"N7CON4root15","N7CON","N7","CON",4,"15",-29.29,345.13,"",1.8,25.91,"","5RGOLDSMITH","G5","Root","13C, 15N",2.148,2162046,21991,"M"
"N7CON4root30","N7CON","N7","CON",4,"30",-28.6,371.76,"",3.84,21.93,"","8LRGOLDSMITH","B12","Root","13C, 15N",2.824,2162281,22386,"M"
"N7CON4root60","N7CON","N7","CON",4,"60",-29.07,306.59,"",4.15,15.33,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","A8","Root","13C, 15N",2.643,2161881,22550,"M"
"N7CON5root15","N7CON","N7","CON",5,"15",-29.7,464.6,"",2.64,30.32,"","4RGOLDSMITH","E1","Root","13C, 15N",2.379,2161922,22610,"M"
"N7CON5root30","N7CON","N7","CON",5,"30",-27.92,186.87,"",5.6,18.85,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","F1","Root","13C, 15N",2.073,2162126,22127,"M"
"N7CON6root15","N7CON","N7","CON",6,"15",-29.28,408.94,"",2.95,29.77,"","6RGOLDSMITH","G3","Root","13C, 15N",2.805,2162140,22170,"M"
"N7CON6root30","N7CON","N7","CON",6,"30",-28.57,322.96,"",3.29,22.91,"","5RGOLDSMITH","H4","Root","13C, 15N",2.842,2162057,22006,"M"
"N7CON6root60","N7CON","N7","CON",6,"60",-27.63,134.02,"",5.63,12.98,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","B9","Root","13C, 15N",2.533,2161894,22569,"M"
"N7CON7root15","N7CON","N7","CON",7,"15",-29.31,564.19,"",3.32,34.69,"","5RGOLDSMITH","G2","Root","13C, 15N",2.819,2162043,21988,"M"
"N7CON7root30","N7CON","N7","CON",7,"30",-29.14,412.67,"",3.77,25.59,"","6RGOLDSMITH","C6","Root","13C, 15N",2.788,2162095,22083,"M"
"N7CON8root15","N7CON","N7","CON",8,"15",-29.98,377.21,"",2.49,26.46,"","6RGOLDSMITH","D5","Root","13C, 15N",2.292,2162106,22097,"M"
"N7CON8root30","N7CON","N7","CON",8,"30",-31.21,484.4,"",3.43,26.83,"","6RGOLDSMITH","E2","Root","13C, 15N",2.726,2162115,22112,"M"
"N7CON9root15","N7CON","N7","CON",9,"15",-29.75,572.69,"",1.47,36.71,"","5RGOLDSMITH","F8","Root","13C, 15N",2.833,2162037,21976,"M"
"N7CON9root30","N7CON","N7","CON",9,"30",-29.24,318.58,"",2.56,21.74,"","7RGOLDSMITH","A4","Root","13C, 15N",2.131,2162165,22205,"M"
"S1CO210root15","S1CO2","S1","CO2",10,"15",-29.12,1091.98,"",-1.33,25.81,"","5RGOLDSMITH","F10","Root","13C, 15N",2.419,2162039,21978,"M"
"S1CO210root30","S1CO2","S1","CO2",10,"30",-29.51,817.7,"",0.01,32.15,"","7RGOLDSMITH","D5","Root","13C, 15N",2.476,2162202,22255,"M"
"S1CO21root15","S1CO2","S1","CO2",1,"15",-30.27,714.17,"",0.94,28.17,"","4RGOLDSMITH","C1","Root","13C, 15N",2.39,2161898,22577,"M"
"S1CO21root30","S1CO2","S1","CO2",1,"30",-29.19,1155.3,"",0.56,26.67,"","5RGOLDSMITH","B10","Root","13C, 15N",2.574,2161991,22508,"M"
"S1CO22root15","S1CO2","S1","CO2",2,"15",-27.63,809.28,"",3.07,17.12,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","G3","Root","13C, 15N",2.169,2161948,22452,"M"
"S1CO22root30","S1CO2","S1","CO2",2,"30",-27.65,1030.79,"",-0.68,28.97,"","4RGOLDSMITH","H6","Root","13C, 15N",2.298,2161963,22470,"M"
"S1CO22root60","S1CO2","S1","CO2",2,"60",-27.42,1119.67,"",2.57,13.38,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","A12","Root","13C, 15N",2.391,2161885,22554,"M"
"S1CO22root90","S1CO2","S1","CO2",2,"90",-29.89,1087.36,"",0.51,21.58,"","5RGOLDSMITH","C8","Root","13C, 15N",2.605,2162001,21927,"M"
"S1CO23root15","S1CO2","S1","CO2",3,"15",-27.12,1040.53,"",1.91,23.24,"","4RGOLDSMITH","D4","Root","13C, 15N",2.271,2161913,22595,"M"
"S1CO23root30","S1CO2","S1","CO2",3,"30",-27.25,1156.34,"",0.53,17.91,"Precision decreases for samples containing less than 20ugN","6RGOLDSMITH","A12","Root","13C, 15N",2.532,2162077,22055,"M"
"S1CO24root30","S1CO2","S1","CO2",4,"30",-29.28,855.48,"",1.13,37.94,"","3RGOLDSMITH","H3","Root","13C, 15N",2.039,2161864,22436,"M"
"S1CO24root30d1","S1CO2","S1","CO2",4,"30",-27.78,737.51,"",1.74,34.84,"","5RGOLDSMITH","B6","Root","13C, 15N",2.559,2161987,22504,"M"
"S1CO24root30d2","S1CO2","S1","CO2",4,"30",-27.9,874.5,"",1.65,20.74,"","6RGOLDSMITH","H6","Root","13C, 15N",2.403,2162155,22191,"M"
"S1CO24root60","S1CO2","S1","CO2",4,"60",-28.56,1069.14,"",1.43,25.5,"","5RGOLDSMITH","A11","Root","13C, 15N",2.746,2161980,22493,"M"
"S1CO25root15","S1CO2","S1","CO2",5,"15",-21.35,933.39,"",0.54,21.96,"","5RGOLDSMITH","B1","Root","13C, 15N",2.166,2161982,22499,"M"
"S1CO25root30","S1CO2","S1","CO2",5,"30",-26.87,1012.35,"",2.28,22.44,"","4RGOLDSMITH","C2","Root","13C, 15N",2.314,2161899,22578,"M"
"S1CO25root60","S1CO2","S1","CO2",5,"60",-18.24,999.64,"",4.12,13.31,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","E12","Root","13C, 15N",2.64,2161933,22621,"M"
"S1CO26root15","S1CO2","S1","CO2",6,"15",-27.61,1266.31,"",0.01,33.84,"","3RGOLDSMITH","G8","Root","13C, 15N",2.761,2161857,22423,"M"
"S1CO26root30","S1CO2","S1","CO2",6,"30",-31.45,566.47,"",2.16,15.02,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","E4","Root","13C, 15N",2.029,2161925,22613,"M"
"S1CO26root60","S1CO2","S1","CO2",6,"60",-28.68,789.91,"",0.2,23.69,"","5RGOLDSMITH","H1","Root","13C, 15N",2.35,2162054,22003,"M"
"S1CO26root90","S1CO2","S1","CO2",6,"90",-28.51,958.74,"",-0.02,13.92,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","C4","Root","13C, 15N",2.606,2161997,21923,"M"
"S1CO27root15","S1CO2","S1","CO2",7,"15",-28.57,848.64,"",1.67,24.98,"","4RGOLDSMITH","G10","Root","13C, 15N",2.619,2161955,22459,"M"
"S1CO27root30","S1CO2","S1","CO2",7,"30",-29.3,975.97,"",1.92,22.62,"","6RGOLDSMITH","D9","Root","13C, 15N",2.452,2162110,22101,"M"
"S1CO27root60","S1CO2","S1","CO2",7,"60",-28.38,1209.09,"",2.82,19.75,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","E2","Root","13C, 15N",2.715,2161923,22611,"M"
"S1CO28root15","S1CO2","S1","CO2",8,"15",-28.99,701,"",0.8,35.58,"","4RGOLDSMITH","F12","Root","13C, 15N",2.296,2161945,22637,"M"
"S1CO28root30","S1CO2","S1","CO2",8,"30",-27.96,674.81,"",2.17,20.58,"","4RGOLDSMITH","F1","Root","13C, 15N",2.674,2161934,22626,"M"
"S1CO28root60","S1CO2","S1","CO2",8,"60",-28.43,1203.82,"",0.06,20.42,"","4RGOLDSMITH","D1","Root","13C, 15N",2.655,2161910,22592,"M"
"S1CO29root15","S1CO2","S1","CO2",9,"15",-28.43,1075.14,"",-0.14,39.88,"","7RGOLDSMITH","E7","Root","13C, 15N",2.526,2162216,22298,"M"
"S1CO29root30","S1CO2","S1","CO2",9,"30",-28.61,1090.1,"",-0.02,26.89,"","4RGOLDSMITH","B11","Root","13C, 15N",2.532,2161896,22571,"M"
"S1CO29root60","S1CO2","S1","CO2",9,"60",-27.81,734.84,"",-1.56,24.59,"","7RGOLDSMITH","H2","Root","13C, 15N",2.304,2162247,22342,"M"
"S1CON10root15","S1CON","S1","CON",10,"15",-29.05,861.15,"",2.65,19.58,"Precision decreases for samples containing less than 20ugN","4RGOLDSMITH","F5","Root","13C, 15N",2.598,2161938,22630,"M"
"S1CON10root30","S1CON","S1","CON",10,"30",-29.14,976.99,"",3.23,15.5,"Precision decreases for samples containing less than 20ugN","3RGOLDSMITH","H10","Root","13C, 15N",2.211,2161871,22443,"M"
"S1CON10root60","S1CON","S1","CON",10,"60",-28.01,829.92,"",3.98,13.44,"Precision decreases for samples containing less than 20ugN","3RGOLDSMITH","G11","Root","13C, 15N",2.343,2161860,22426,"M"
"S1CON1root30","S1CON","S1","CON",1,"30",-29.88,584.78,"",2.05,20.27,"","3RGOLDSMITH","G6","Root","13C, 15N",2.389,2161855,22421,"M"
"S1CON1root30d","S1CON","S1","CON",1,"30",-28.09,1195.3,"",2.16,58.87,"","5RGOLDSMITH","B9","Root","13C, 15N",2.875,2161990,22507,"M"
"S1CON1root60","S1CON","S1","CON",1,"60",-29.28,577.68,"",2.07,15.22,"Precision decreases for samples containing less than 20ugN","5RGOLDSMITH","C6","Root","13C, 15N",2.562,2161999,21925,"M"
"S1CON2root15","S1CON","S1","CON",2,"15",-29.93,1000.97,"",1.43,22.26,"","4RGOLDSMITH","B3","Root","13C, 15N",2.429,2161888,22563,"M"
