sample_id,total_c_ug,total_n_ug,delta_c13,delta_n15,site_treatment,zone,soil_depth,treatment,site_id
N7-CON-9-soil-30,541.42,53.95,-26.89,4.63,N7-CON,North,30,CON,N7
S1-CO2-10-soil-15,2562.8,125.96,-28.97,0.23,S1-CO2,South,15,CO2,S1
S1-CO2-10-soil-30,2807.96,104.13,-29.11,0.55,S1-CO2,South,30,CO2,S1
S1-CO2-1-soil-15,773.08,55.02,-26.6,3.72,S1-CO2,South,15,CO2,S1
S1-CO2-1-soil-30,496.24,34.88,-25.8,4.62,S1-CO2,South,30,CO2,S1
S1-CO2-1-soil-60,326.14,20.56,-25.13,5.71,S1-CO2,South,60,CO2,S1
S1-CO2-2-soil-15,390.43,29.22,-24.84,3.94,S1-CO2,South,15,CO2,S1
S1-CO2-2-soil-30,312.3,24.98,-24.34,5.4,S1-CO2,South,30,CO2,S1
S1-CO2-2-soil-90,656.17,45.32,-21.68,6.02,S1-CO2,South,90,CO2,S1
S1-CO2-2-soil-90-D,285.77,18.86,-20.07,6.31,S1-CO2,South,-D,CO2,S1
S1-CO2-3-soil-15,1156.04,83.1,-25.63,3.63,S1-CO2,South,15,CO2,S1
S1-CO2-3-soil-30,790.25,58.77,-23.96,4.72,S1-CO2,South,30,CO2,S1
S1-CO2-3-soil-60,204.28,17.02,-24.05,5.54,S1-CO2,South,60,CO2,S1
S1-CO2-3-soil-60-D,664.83,47.07,-23.01,5.13,S1-CO2,South,-D,CO2,S1
S1-CO2-4-soil-15,1085.07,80.54,-24.55,4.09,S1-CO2,South,15,CO2,S1
S1-CO2-4-soil-15-D,1328.22,101.09,-24.52,3.87,S1-CO2,South,-D,CO2,S1
S1-CO2-4-soil-60,834.08,58.56,-22.11,6.14,S1-CO2,South,60,CO2,S1
S1-CO2-5-soil-15,1133.13,84.47,-25.67,3.76,S1-CO2,South,15,CO2,S1
S1-CO2-6-soil-120,503.02,35.45,-21.81,6.19,S1-CO2,South,20,CO2,S1
S1-CO2-6-soil-15,954.22,71.68,-26.24,3.88,S1-CO2,South,15,CO2,S1
S1-CO2-6-soil-30,783.72,59.7,-25.23,4.47,S1-CO2,South,30,CO2,S1
S1-CO2-6-soil-60,651.35,50.36,-22.4,5.56,S1-CO2,South,60,CO2,S1
S1-CO2-6-soil-90,465.6,31.93,-21.17,6.32,S1-CO2,South,90,CO2,S1
S1-CO2-7-soil-15,873.39,65.12,-26.71,4.55,S1-CO2,South,15,CO2,S1
S1-CO2-7-soil-30,689.75,52.72,-25.89,5.49,S1-CO2,South,30,CO2,S1
S1-CO2-7-soil-60,583.04,44.46,-23.38,6.26,S1-CO2,South,60,CO2,S1
S1-CO2-8-soil-15,626.57,49.88,-26.67,3.76,S1-CO2,South,15,CO2,S1
S1-CO2-8-soil-30,302.95,24.74,-24.37,4.65,S1-CO2,South,30,CO2,S1
S1-CO2-8-soil-60,349.15,27.24,-23.82,5.41,S1-CO2,South,60,CO2,S1
S1-CO2-9-soil-15,3623.59,168.42,-28.96,0.88,S1-CO2,South,15,CO2,S1
S1-CO2-9-soil-30,2476.92,98.55,-28.66,0.52,S1-CO2,South,30,CO2,S1
S1-CO2-9-soil-60,700.94,69.72,-28.75,3.84,S1-CO2,South,60,CO2,S1
S1-CON-10-soil-15,573.57,34.71,-22.73,5.39,S1-CON,South,15,CON,S1
S1-CON-10-soil-30,205.91,13.32,-17.84,8.48,S1-CON,South,30,CON,S1
S1-CON-10-soil-60,149.96,10.38,-17.6,9.02,S1-CON,South,60,CON,S1
S1-CON-1-soil-15,730.12,42.72,-25.15,4.28,S1-CON,South,15,CON,S1
S1-CON-1-soil-30,422.71,29.05,-21.23,7.17,S1-CON,South,30,CON,S1
S1-CON-2-soil-15,611.24,43.94,-24.29,5.43,S1-CON,South,15,CON,S1
S1-CON-2-soil-15-D,718.84,47.03,-23.36,4.07,S1-CON,South,-D,CON,S1
S1-CON-2-soil-30,421.63,29.41,-18.96,5.18,S1-CON,South,30,CON,S1
S1-CON-2-soil-60,352.94,22.58,-18.8,6.9,S1-CON,South,60,CON,S1
S1-CON-3-soil-15,547.4,37.76,-23.46,5.19,S1-CON,South,15,CON,S1
S1-CON-3-soil-15-D,203.87,13.77,-19.4,7.44,S1-CON,South,-D,CON,S1
S1-CON-3-soil-30,259,16.32,-21.28,7.79,S1-CON,South,30,CON,S1
S1-CON-3-soil-60,222.54,12.31,-21.5,7.94,S1-CON,South,60,CON,S1
S1-CON-4-soil-15,459.41,43.23,-25.72,5.64,S1-CON,South,15,CON,S1
S1-CON-4-soil-30,254.54,16.23,-19.28,9.32,S1-CON,South,30,CON,S1
S1-CON-4-soil-60,154.11,11.09,-20.96,9.04,S1-CON,South,60,CON,S1
S1-CON-5-soil-15,370.3,22.45,-22,7.1,S1-CON,South,15,CON,S1
S1-CON-5-soil-30,197.2,12.93,-20.81,10.27,S1-CON,South,30,CON,S1
S1-CON-6-soil-15,465.2,31.44,-21.4,6.3,S1-CON,South,15,CON,S1
S1-CON-6-soil-30,223.68,14.89,-21.36,8.9,S1-CON,South,30,CON,S1
S1-CON-6-soil-60,164.54,11.81,-21.12,8.21,S1-CON,South,60,CON,S1
S1-CON-7-soil-15,473.38,29.53,-19.08,5.53,S1-CON,South,15,CON,S1
S1-CON-7-soil-30,237.98,16.87,-19.81,8.28,S1-CON,South,30,CON,S1
S1-CON-8-soil-15,440.26,29.68,-21.54,5.52,S1-CON,South,15,CON,S1
S1-CON-8-soil-30,194.31,13.29,-19.3,9.57,S1-CON,South,30,CON,S1
S1-CON-8-soil-60,130.61,9.4,-19.82,8.21,S1-CON,South,60,CON,S1
S1-CON-9-soil-15,588.82,40.57,-21.9,4.02,S1-CON,South,15,CON,S1
S1-CON-9-soil-30,323.82,21.75,-19.34,6.55,S1-CON,South,30,CON,S1
S1-CON-9-soil-60,195.58,12.12,-21.97,8.07,S1-CON,South,60,CON,S1
S3-CO2-10-soil-15,1296,102.91,-26.71,3.17,S3-CO2,South,15,CO2,S3
S3-CO2-10-soil-30,641.47,50.96,-22.54,4,S3-CO2,South,30,CO2,S3
S3-CO2-10-soil-60,342.1,26.91,-23.33,4.14,S3-CO2,South,60,CO2,S3
S3-CO2-1-soil-15,885.61,48.39,-27.48,0.68,S3-CO2,South,15,CO2,S3
S3-CO2-1-soil-30,415.29,24.99,-26.21,0.25,S3-CO2,South,30,CO2,S3
S3-CO2-1-soil-60,190.89,11.43,-26.09,0.68,S3-CO2,South,60,CO2,S3
S3-CO2-2-soil-15,988.98,83.89,-26.51,3.26,S3-CO2,South,15,CO2,S3
S3-CO2-2-soil-30,771.97,63.88,-26.15,3.18,S3-CO2,South,30,CO2,S3
S3-CO2-2-soil-60,788.67,65.93,-26.83,2.99,S3-CO2,South,60,CO2,S3
S3-CO2-3-soil-15,1334.38,90.77,-26.49,2.77,S3-CO2,South,15,CO2,S3
S3-CO2-3-soil-30,564.13,47.3,-26.37,3.97,S3-CO2,South,30,CO2,S3
S3-CO2-3-soil-30-D,732.2,54.09,-21.97,5.13,S3-CO2,South,-D,CO2,S3
S3-CO2-3-soil-60,312.3,25.1,-23.93,4.79,S3-CO2,South,60,CO2,S3
S3-CO2-3-soil-60-D,1080.67,92.37,-26.16,4.11,S3-CO2,South,-D,CO2,S3
S3-CO2-4-soil-15,800.61,69.2,-25.43,4.29,S3-CO2,South,15,CO2,S3
S3-CO2-4-soil-30,531.95,44.36,-23.82,5.36,S3-CO2,South,30,CO2,S3
S3-CO2-4-soil-60,492.34,39.47,-24.52,5,S3-CO2,South,60,CO2,S3
S3-CO2-5-soil-15,880.95,75,-26.03,3.39,S3-CO2,South,15,CO2,S3
S3-CO2-5-soil-30,638.28,52.25,-25.27,3.82,S3-CO2,South,30,CO2,S3
S3-CO2-6-soil-15,1318.64,113.65,-27.22,3.04,S3-CO2,South,15,CO2,S3
S3-CO2-6-soil-30,943.8,75.25,-26.42,3.36,S3-CO2,South,30,CO2,S3
S3-CO2-6-soil-60,233.26,16.33,-23.99,3.79,S3-CO2,South,60,CO2,S3
S3-CO2-7-soil-15,586.85,51.26,-26.09,4.48,S3-CO2,South,15,CO2,S3
S3-CO2-7-soil-30,449.85,38.63,-24.81,4.79,S3-CO2,South,30,CO2,S3
S3-CO2-8-soil-60,279.09,20.93,-25.01,4.18,S3-CO2,South,60,CO2,S3
S3-CO2-9-soil-15,1402.61,117.88,-27.29,2.96,S3-CO2,South,15,CO2,S3
S3-CO2-9-soil-30,522.49,34.66,-19.7,5.02,S3-CO2,South,30,CO2,S3
S3-CO2-9-soil-30-D,530.96,48.65,-25.25,4.22,S3-CO2,South,-D,CO2,S3
S3-CO2-9-soil-60,465.17,38.88,-22.61,4.73,S3-CO2,South,60,CO2,S3
S3-CON-10-soil-15,1708.09,131.95,-26.72,3.15,S3-CON,South,15,CON,S3
S3-CON-10-soil-30,1143.9,96.24,-23.56,5.56,S3-CON,South,30,CON,S3
S3-CON-10-soil-60,783,60.04,-20.96,6.33,S3-CON,South,60,CON,S3
S3-CON-1-soil-60,916.74,62.83,-17.29,7.32,S3-CON,South,60,CON,S3
S3-CON-2-soil-15,2112.86,163.12,-27,2.82,S3-CON,South,15,CON,S3
S3-CON-2-soil-15-D,1061.1,91.67,-25.3,4.19,S3-CON,South,-D,CON,S3
S3-CON-2-soil-30,1125,92.46,-23.6,5.56,S3-CON,South,30,CON,S3
S3-CON-2-soil-60,979.69,78.68,-21.72,6.06,S3-CON,South,60,CON,S3
S3-CON-3-soil-15,961.79,87.9,-25.93,4.1,S3-CON,South,15,CON,S3
S3-CON-3-soil-30,812.71,71.83,-23.5,4.94,S3-CON,South,30,CON,S3
S3-CON-3-soil-30-D,825.77,76.02,-23.56,5.69,S3-CON,South,-D,CON,S3
S3-CON-3-soil-60,483.85,40.1,-20.15,7.14,S3-CON,South,60,CON,S3
S3-CON-4-soil-15,1062.1,94.24,-26.38,4.04,S3-CON,South,15,CON,S3
S3-CON-4-soil-30,791.51,71.97,-23.96,5.61,S3-CON,South,30,CON,S3
S3-CON-4-soil-60,386.25,31.49,-20.93,7.61,S3-CON,South,60,CON,S3
S3-CON-5-soil-30,994.84,86.08,-25.39,4.72,S3-CON,South,30,CON,S3
S3-CON-5-soil-60,622.54,51.48,-22.29,6.87,S3-CON,South,60,CON,S3
S3-CON-6-soil-15,1132.48,80.35,-26.74,3.67,S3-CON,South,15,CON,S3
S3-CON-6-soil-30,707.14,57.88,-24.73,5,S3-CON,South,30,CON,S3
S3-CON-7-soil-15,1245.62,104.09,-25.86,3.76,S3-CON,South,15,CON,S3
S3-CON-7-soil-30,1067.27,84.79,-25.31,4.03,S3-CON,South,30,CON,S3
S3-CON-7-soil-60,820.77,66.73,-24.25,4.63,S3-CON,South,60,CON,S3
S3-CON-8-soil-15,1195.46,96.96,-25.72,4.03,S3-CON,South,15,CON,S3
S3-CON-8-soil-30,631.42,48.26,-22.32,6.22,S3-CON,South,30,CON,S3
S3-CON-9-soil-15,1269.52,103.03,-25.92,3.56,S3-CON,South,15,CON,S3
S3-CON-9-soil-30,830.04,68.45,-23.32,5.23,S3-CON,South,30,CON,S3
S3-CON-9-soil-60,586.6,41.57,-22.53,6.08,S3-CON,South,60,CON,S3
S4-CO2-10-soil-30,442.48,32.38,-23.65,6.78,S4-CO2,South,30,CO2,S4
S4-CO2-10-soil-60,1027.26,53.65,-19.79,5.74,S4-CO2,South,60,CO2,S4
S4-CO2-10-soil-90,281.08,19.73,-20.85,5.36,S4-CO2,South,90,CO2,S4
S4-CO2-1-soil-15,1012.42,72.03,-28.47,4.68,S4-CO2,South,15,CO2,S4
S4-CO2-1-soil-30,334.98,26.62,-24.92,6.76,S4-CO2,South,30,CO2,S4
S4-CO2-1-soil-90,228.83,14.13,-21.66,5.84,S4-CO2,South,90,CO2,S4
S4-CO2-2-soil-15,882.01,73.11,-27.52,4.99,S4-CO2,South,15,CO2,S4
S4-CO2-2-soil-30,380.3,29.62,-24.25,6.77,S4-CO2,South,30,CO2,S4
S4-CO2-2-soil-60,394.52,27.39,-23.23,6.71,S4-CO2,South,60,CO2,S4
S4-CO2-2-soil-90,230.47,15.83,-22.59,5.71,S4-CO2,South,90,CO2,S4
S4-CO2-3-soil-15,898.67,73.67,-27.73,4.94,S4-CO2,South,15,CO2,S4
S4-CO2-3-soil-30,540.84,45.67,-25.33,6.69,S4-CO2,South,30,CO2,S4
S4-CO2-3-soil-60,400.1,28.6,-22.35,6.61,S4-CO2,South,60,CO2,S4
S4-CO2-4-soil-15,1136.05,80.07,-28.17,4.62,S4-CO2,South,15,CO2,S4
S4-CO2-4-soil-30,600.1,42.04,-26.82,5.75,S4-CO2,South,30,CO2,S4
S4-CO2-4-soil-60,263.76,16.91,-21.19,6.17,S4-CO2,South,60,CO2,S4
S4-CO2-4-soil-90,868.13,58.42,-23.82,5.1,S4-CO2,South,90,CO2,S4
S4-CO2-4-soil-90-D,241.88,14.37,-19.75,6.04,S4-CO2,South,-D,CO2,S4
S4-CO2-5-soil-15,700.94,47.3,-28.07,4.82,S4-CO2,South,15,CO2,S4
S4-CO2-5-soil-30,383.13,30.63,-25.12,6.15,S4-CO2,South,30,CO2,S4
S4-CO2-5-soil-60,261.06,17.31,-20.77,6.6,S4-CO2,South,60,CO2,S4
S4-CO2-6-soil-15,1574.8,86.7,-28.7,4.28,S4-CO2,South,15,CO2,S4
S4-CO2-6-soil-30,546.73,37.69,-25.9,6.67,S4-CO2,South,30,CO2,S4
S4-CO2-6-soil-60,323.05,21.41,-22.33,6.79,S4-CO2,South,60,CO2,S4
S4-CO2-7-soil-15,1439.39,90.05,-28.15,4.86,S4-CO2,South,15,CO2,S4
S4-CO2-7-soil-30,797.45,55.29,-26.37,5.77,S4-CO2,South,30,CO2,S4
S4-CO2-7-soil-60,306.2,18.59,-21.89,7.06,S4-CO2,South,60,CO2,S4
S4-CO2-7-soil-90,516.3,29.93,-22.19,6.66,S4-CO2,South,90,CO2,S4
S4-CO2-8-soil-15,1149.25,83.08,-28.26,4.98,S4-CO2,South,15,CO2,S4
S4-CO2-8-soil-15-D1,325.85,24.2,-22.12,5.64,S4-CO2,South,D1,CO2,S4
S4-CO2-8-soil-15-D2,1101.41,78.81,-27.62,5.21,S4-CO2,South,D2,CO2,S4
S4-CO2-8-soil-30,846.41,55.45,-23.84,6.49,S4-CO2,South,30,CO2,S4
S4-CO2-8-soil-60,543.92,33.46,-20.44,6.79,S4-CO2,South,60,CO2,S4
S4-CO2-8-soil-90,207.99,13.86,-19.72,7.29,S4-CO2,South,90,CO2,S4
S4-CO2-9-soil-15,962.93,70.23,-27.66,5.49,S4-CO2,South,15,CO2,S4
S4-CO2-9-soil-30,2026.88,141.45,-29.62,1.91,S4-CO2,South,30,CO2,S4
S4-CO2-9-soil-60,222.22,16.29,-21.65,6.33,S4-CO2,South,60,CO2,S4
S4-CO2-9-soil-90,481.97,30.01,-22.35,6.38,S4-CO2,South,90,CO2,S4
S4-CON-10-soil-30,776.31,52.89,-23.73,5.17,S4-CON,South,30,CON,S4
S4-CON-10-soil-60,819.35,49.59,-19.65,5.98,S4-CON,South,60,CON,S4
S4-CON-1-soil-15,1233.84,83.67,-26.16,4.14,S4-CON,South,15,CON,S4
S4-CON-1-soil-15-D,1391.05,90.37,-27.83,3.65,S4-CON,South,-D,CON,S4
S4-CON-1-soil-30,801.38,44.7,-22.95,4.81,S4-CON,South,30,CON,S4
S4-CON-1-soil-60,1368.69,70.85,-9.8,4.23,S4-CON,South,60,CON,S4
S4-CON-2-soil,557.04,21.4,-22.46,4.2,S4-CON,South,il,CON,S4
S4-CON-2-soil-15,1292.33,85.53,-25.82,4.27,S4-CON,South,15,CON,S4
S4-CON-2-soil-30,696.63,37.56,-21.34,5.66,S4-CON,South,30,CON,S4
S4-CON-3-soil-15,1260.42,82.86,-26.19,3.97,S4-CON,South,15,CON,S4
S4-CON-3-soil-30,226.17,11.26,-23.68,3.56,S4-CON,South,30,CON,S4
S4-CON-3-soil-60,371.35,18.99,-23.03,4.23,S4-CON,South,60,CON,S4
S4-CON-3-soil-90,349.15,17.13,-21.78,3.94,S4-CON,South,90,CON,S4
S4-CON-4-soil-15,915.31,83.84,-25.84,5.27,S4-CON,South,15,CON,S4
S4-CON-4-soil-30,388.79,18.21,-23.02,3.62,S4-CON,South,30,CON,S4
S4-CON-4-soil-60,154.88,8.74,-21.98,2.79,S4-CON,South,60,CON,S4
S4-CON-5-soil-15,1068.32,67.94,-25.17,3.71,S4-CON,South,15,CON,S4
S4-CON-5-soil-30,332.15,16.34,-23.1,3.5,S4-CON,South,30,CON,S4
S4-CON-5-soil-60,314.76,14.47,-22.41,3.42,S4-CON,South,60,CON,S4
S4-CON-6-soil-30,1059.07,71.41,-27.31,3.61,S4-CON,South,30,CON,S4
S4-CON-6-soil-30-D,800.53,42.94,-20.67,4.55,S4-CON,South,-D,CON,S4
S4-CON-6-soil-60,241.39,15.24,-21.08,4.29,S4-CON,South,60,CON,S4
S4-CON-7-soil-15,1049.33,70.83,-26.39,4.34,S4-CON,South,15,CON,S4
S4-CON-7-soil-30,837.3,52.46,-21.76,5.56,S4-CON,South,30,CON,S4
S4-CON-7-soil-60,868.13,45.94,-19.67,5.97,S4-CON,South,60,CON,S4
S4-CON-8-soil-15,1178.08,77.9,-26.11,4.23,S4-CON,South,15,CON,S4
S4-CON-8-soil-30,873.68,54.53,-23.68,5.43,S4-CON,South,30,CON,S4
S4-CON-8-soil-60,301.1,19.08,-19.81,5.97,S4-CON,South,60,CON,S4
S4-CON-9-soil-15,1138.9,77.06,-26.33,4.09,S4-CON,South,15,CON,S4
S4-CON-9-soil-60,1088.32,53.36,-17.85,6.41,S4-CON,South,60,CON,S4
S5-CO2-10-soil-15,780.21,51.82,-22.42,4.09,S5-CO2,South,15,CO2,S5
S5-CO2-10-soil-30,585.96,37.7,-18.74,6.4,S5-CO2,South,30,CO2,S5
S5-CO2-10-soil-40,610.29,41.85,-21.9,4.6,S5-CO2,South,40,CO2,S5
S5-CO2-1-soil-15,816.51,55.14,-21.54,2.28,S5-CO2,South,15,CO2,S5
S5-CO2-1-soil-30,604.26,37.2,-22.56,2.32,S5-CO2,South,30,CO2,S5
S5-CO2-2-soil-15,610.33,41.83,-21.82,3.88,S5-CO2,South,15,CO2,S5
S5-CO2-2-soil-30,625.9,36.12,-17.64,6.04,S5-CO2,South,30,CO2,S5
S5-CO2-2-soil-60,477.76,28.85,-19.48,4.37,S5-CO2,South,60,CO2,S5
S5-CO2-2-soil-90,143.83,8.37,-19.36,3.18,S5-CO2,South,90,CO2,S5
S5-CO2-3-soil-120,377.62,23.02,-20.27,4.58,S5-CO2,South,20,CO2,S5
S5-CO2-3-soil-15,738.93,54.07,-22.79,3.78,S5-CO2,South,15,CO2,S5
S5-CO2-3-soil-30,499.94,33.74,-20.76,4.84,S5-CO2,South,30,CO2,S5
S5-CO2-3-soil-60,470.69,46.62,-25.44,6.35,S5-CO2,South,60,CO2,S5
S5-CO2-3-soil-60-D,220.66,14.77,-20.99,4.29,S5-CO2,South,-D,CO2,S5
S5-CO2-3-soil-90,352.77,23.42,-22.43,4.32,S5-CO2,South,90,CO2,S5
S5-CO2-4-soil-15,674.19,46.19,-22.16,4.3,S5-CO2,South,15,CO2,S5
S5-CO2-4-soil-30,605.32,34.33,-16.52,6.89,S5-CO2,South,30,CO2,S5
S5-CO2-4-soil-60,625.61,35.62,-16.91,6.16,S5-CO2,South,60,CO2,S5
S5-CO2-5-soil-15,829.08,65.72,-22.95,3.27,S5-CO2,South,15,CO2,S5
S5-CO2-5-soil-30,770.65,59.65,-21.71,3.8,S5-CO2,South,30,CO2,S5
S5-CO2-5-soil-90,890.43,68.7,-23.34,2.99,S5-CO2,South,90,CO2,S5
S5-CO2-6-soil-15,752.91,49.56,-20.38,4.11,S5-CO2,South,15,CO2,S5
S5-CO2-6-soil-60,466.85,20.97,-14.98,6.07,S5-CO2,South,60,CO2,S5
S5-CO2-7-soil-15,947.34,63.43,-21.26,2.09,S5-CO2,South,15,CO2,S5
S5-CO2-7-soil-30,628.97,40.84,-21.89,1.87,S5-CO2,South,30,CO2,S5
S5-CO2-7-soil-30-D,490.05,28.97,-16.24,5.38,S5-CO2,South,-D,CO2,S5
S5-CO2-7-soil-60,823,55.2,-22.69,1.8,S5-CO2,South,60,CO2,S5
S5-CO2-8-soil-15,617.71,41.65,-19.49,3.93,S5-CO2,South,15,CO2,S5
S5-CO2-8-soil-30,467.66,26.51,-20.17,4.29,S5-CO2,South,30,CO2,S5
S5-CO2-8-soil-60,409.09,24.67,-21.24,3.49,S5-CO2,South,60,CO2,S5
S5-CO2-9-soil-15,926.26,66.55,-22.87,3.61,S5-CO2,South,15,CO2,S5
S5-CO2-9-soil-40,632.05,43.08,-20.81,4.42,S5-CO2,South,40,CO2,S5
S5-CON-10-soil-15,895.69,64.95,-25.18,4.12,S5-CON,South,15,CON,S5
S5-CON-10-soil-60,718.27,51.72,-24.19,5.2,S5-CON,South,60,CON,S5
S5-CON-1-soil-15,714.24,54.95,-23.88,4.31,S5-CON,South,15,CON,S5
S5-CON-1-soil-30,734.69,54.19,-23.11,4.72,S5-CON,South,30,CON,S5
S5-CON-1-soil-60,548.72,37.69,-20.33,5.43,S5-CON,South,60,CON,S5
S5-CON-2-soil-15,1028.09,74.55,-23.92,3.64,S5-CON,South,15,CON,S5
S5-CON-2-soil-15-D,924.75,64.72,-22.73,4.17,S5-CON,South,-D,CON,S5
S5-CON-2-soil-30,727.37,50.08,-21.39,5.16,S5-CON,South,30,CON,S5
S5-CON-2-soil-60,594.16,41.51,-23.87,3.61,S5-CON,South,60,CON,S5
S5-CON-3-soil-15,801.16,58.03,-21.61,4.42,S5-CON,South,15,CON,S5
S5-CON-3-soil-30,487.24,34.32,-19.6,5.62,S5-CON,South,30,CON,S5
S5-CON-3-soil-60,507.98,35.89,-21.11,5.16,S5-CON,South,60,CON,S5
S5-CON-4-soil-15,1041.39,75.76,-20.86,4.65,S5-CON,South,15,CON,S5
S5-CON-4-soil-30,781.85,55.16,-20.12,5.38,S5-CON,South,30,CON,S5
S5-CON-4-soil-60,640.61,43.78,-18.59,6.74,S5-CON,South,60,CON,S5
S5-CON-5-soil-15,926.39,68.59,-22.83,4.44,S5-CON,South,15,CON,S5
S5-CON-5-soil-30,834.78,60.68,-22.1,4.81,S5-CON,South,30,CON,S5
S5-CON-5-soil-60,987.72,71.64,-21.42,5.31,S5-CON,South,60,CON,S5
S5-CON-6-soil-15,1321.28,93.71,-20.53,5.09,S5-CON,South,15,CON,S5
S5-CON-6-soil-30,1135.74,75.35,-17.2,7.25,S5-CON,South,30,CON,S5
S5-CON-6-soil-60,951.16,61.06,-15.89,7.91,S5-CON,South,60,CON,S5
S5-CON-7-soil-30,840.44,62.51,-24.6,4.48,S5-CON,South,30,CON,S5
S5-CON-7-soil-30-D,714.76,46.18,-20.39,5.43,S5-CON,South,-D,CON,S5
S5-CON-7-soil-60,650.97,41.42,-19.47,5.92,S5-CON,South,60,CON,S5
S5-CON-8-soil-15,1045.38,72.88,-24.21,3.8,S5-CON,South,15,CON,S5
S5-CON-8-soil-30,1071.81,67.23,-20.94,5.44,S5-CON,South,30,CON,S5
S5-CON-8-Soil-60,521.6,30.93,-19.72,5.8,S5-CON,South,60,CON,S5
S5-CON-9-soil-15,783.67,59.23,-24.61,4.44,S5-CON,South,15,CON,S5
S5-CON-9-soil-60,527.75,39.01,-23.53,5.42,S5-CON,South,60,CON,S5
S5-CON-9-soil-60-D,352.25,24.46,-23.9,5.02,S5-CON,South,-D,CON,S5
S6-CO2-10-soil-15,903.2,90.89,-26.03,6.04,S6-CO2,South,15,CO2,S6
S6-CO2-10-soil-30,712.84,68.99,-25.36,6.21,S6-CO2,South,30,CO2,S6
S6-CO2-1-soil-15,879.88,77.89,-26.89,4.62,S6-CO2,South,15,CO2,S6
S6-CO2-1-soil-30,496.06,47.13,-25.09,6.15,S6-CO2,South,30,CO2,S6
S6-CO2-1-soil-60,406.09,37.73,-22.41,7.22,S6-CO2,South,60,CO2,S6
S6-CO2-2-soil-15,1115.18,94.98,-26.99,4.6,S6-CO2,South,15,CO2,S6
S6-CO2-2-soil-30,731.67,70.85,-25.55,5.79,S6-CO2,South,30,CO2,S6
S6-CO2-2-soil-60,410.3,37.79,-21.04,7.07,S6-CO2,South,60,CO2,S6
S6-CO2-3-soil-15,1051.31,101.9,-26.39,5.21,S6-CO2,South,15,CO2,S6
S6-CO2-3-soil-30,626.32,62.33,-23.75,6.29,S6-CO2,South,30,CO2,S6
S6-CO2-4-soil-15,1079.44,99.27,-25.92,5.05,S6-CO2,South,15,CO2,S6
S6-CO2-4-soil-30,611.32,60.68,-22.98,7,S6-CO2,South,30,CO2,S6
S6-CO2-4-soil-60,529.85,50.23,-21.68,7.02,S6-CO2,South,60,CO2,S6
S6-CO2-5-soil-15,1175.74,103.78,-25.94,5.21,S6-CO2,South,15,CO2,S6
S6-CO2-5-soil-30,727.34,65.91,-22.44,6.86,S6-CO2,South,30,CO2,S6
S6-CO2-5-soil-60,695.34,48.14,-18.78,5.56,S6-CO2,South,60,CO2,S6
S6-CO2-6-soil-15,1048.27,88.58,-25.97,4.89,S6-CO2,South,15,CO2,S6
S6-CO2-6-soil-30,793.03,68.59,-23.91,6.13,S6-CO2,South,30,CO2,S6
S6-CO2-6-soil-60,559.41,43.84,-20.23,6.49,S6-CO2,South,60,CO2,S6
S6-CO2-7-soil-15,1027.7,89.43,-25.44,5.16,S6-CO2,South,15,CO2,S6
S6-CO2-7-soil-30,829.21,71.41,-24.16,6,S6-CO2,South,30,CO2,S6
S6-CO2-8-soil-15,1070.1,83.28,-27.83,3.63,S6-CO2,South,15,CO2,S6
S6-CO2-8-soil-30,524.22,43.91,-24.74,5.28,S6-CO2,South,30,CO2,S6
S6-CO2-9-soil-15,628.15,52.1,-24.99,4.39,S6-CO2,South,15,CO2,S6
S6-CO2-9-soil-30,602.91,54.47,-24.88,5.47,S6-CO2,South,30,CO2,S6
S6-CON-10-soil-15,851.46,73.67,-25.21,5.11,S6-CON,South,15,CON,S6
S6-CON-10-soil-30,706.12,59.57,-22.03,5.72,S6-CON,South,30,CON,S6
S6-CON-1-soil-15,928.22,82.52,-25.34,5.21,S6-CON,South,15,CON,S6
S6-CON-1-soil-30,732.81,64.77,-23.17,5.73,S6-CON,South,30,CON,S6
S6-CON-2-soil-15,1050.84,83.86,-25.15,4.83,S6-CON,South,15,CON,S6
S6-CON-2-soil-30,873.08,73.05,-21.95,5.79,S6-CON,South,30,CON,S6
S6-CON-3-soil-15,796.24,65.96,-24.34,5.14,S6-CON,South,15,CON,S6
S6-CON-3-soil-30,689.75,56.62,-22.53,5.7,S6-CON,South,30,CON,S6
S6-CON-3-soil-60,627.1,49.46,-20.35,6.15,S6-CON,South,60,CON,S6
S6-CON-4-soil-15,1028,88.65,-25.93,4.69,S6-CON,South,15,CON,S6
S6-CON-4-soil-30,717.7,61.25,-23.65,5.84,S6-CON,South,30,CON,S6
S6-CON-5-soil-15,916.55,79.42,-25.75,4.93,S6-CON,South,15,CON,S6
S6-CON-5-soil-30,581.79,48.94,-23.68,5.84,S6-CON,South,30,CON,S6
S6-CON-6-soil-15,906.08,77.79,-25.76,5.02,S6-CON,South,15,CON,S6
S6-CON-6-soil-30,657.99,57.02,-23,6.12,S6-CON,South,30,CON,S6
S6-CON-7-soil-15,906.38,79.7,-24.89,5.1,S6-CON,South,15,CON,S6
S6-CON-7-soil-30,723.29,61.25,-24.15,5.54,S6-CON,South,30,CON,S6
S6-CON-8-soil-15,990.05,91.18,-25.89,5.2,S6-CON,South,15,CON,S6
S6-CON-8-soil-30,419.88,38.14,-24.28,5.79,S6-CON,South,30,CON,S6
