"Site","Treatment","time_of_day","aranet_co2_mean","aranet_co2_sd","aranet_co2_median","aranet_t_mean","aranet_t_sd","aranet_t_median","aranet_hpa_mean","aranet_hpa_sd","aranet_hpa_median","aranet_rh_mean","aranet_rh_sd","aranet_rh_median"
"S5","Control","Afternoon",438.484897959184,11.7863597706837,436,23.4275918367347,1.68394169649314,23.9,922.816489795918,1.39184333330987,922.5,76.3991836734694,10.0796581855234,73
"S5","Control","Evening",442.105,16.9815959006278,437,21.7356666666667,1.31580652081626,22.1,922.668666666667,1.1150742306181,922.6,81.2666666666667,8.58477642103863,77
"S5","Control","Morning",446.037962962963,11.558195723875,444,21.2885185185185,1.56064309900535,21.1,924.979027777778,1.12543130702563,925.1,84.0171296296296,8.13971235275528,83
"S5","Control","Night",451.247741935484,16.5728174334505,446,20.0032516129032,1.00404949692535,20.1,924.204490322581,1.31136585272261,924.3,88.5094193548387,6.69634945882766,87
"S5","Elevated","Afternoon",453.751466666667,26.8995739301503,445,24.1261866666667,3.99317749508994,23.5,928.16416,10.864765674667,925.4,74.3018666666667,13.8496875018525,74
"S5","Elevated","Evening",461.688912809473,32.9612019804113,448,21.8877287405813,2.93762015668461,21.2,931.560925726588,10.3987436867535,926.8,80.0581270182992,14.5232001207303,83
"S5","Elevated","Morning",451.388269161569,21.0026401163171,446,22.029075206909,2.5722049998584,21.2,928.126232457719,7.37894182473228,926.6,81.8218783735157,6.70988948618434,82
"S5","Elevated","Night",454.508190402775,27.0321737184073,447,21.8760454808248,2.36100143300001,21.5,938.10080940451,25.3649119458081,926.8,77.8435151281557,15.619949819384,82
"S5","Source","Afternoon",441.11867525299,35.4497503269548,430,24.2569457221711,2.00364884914478,24.9,926.857129714811,5.21787569271909,925.5,76.9696412143514,12.0294297714488,73
"S5","Source","Evening",441.159663865546,22.5539320682376,435,22.1611764705882,1.41755063120794,22.4,925.598151260504,1.08089310745405,925.5,80.7126050420168,8.2388436415029,78
"S5","Source","Morning",446.85401459854,25.6569309024302,442,22.1674139728884,2.13643082217937,21.5,929.397497393118,5.80757640117153,928.3,82.5203336809176,10.1188221551851,82
"S5","Source","Night",450.708464849354,21.163188315847,446,20.4043041606887,0.793120433648185,20.4,927.208780487805,1.31411913601375,927.4,87.8737446197991,5.76651642849186,87
"S6","Control","Afternoon",489.537142857143,78.9239560387877,453,25.0630476190476,2.21562393818744,25.1,936.336126984127,22.1522506159899,926.8,67.2190476190476,13.0578185590807,71
"S6","Control","Evening",470.331811263318,39.8182162233346,449,22.958295281583,1.58020206078836,23.3,932.122070015221,11.4676606520448,926.5,72.1400304414003,14.5584983353215,72
"S6","Control","Morning",487.973708487085,73.6678445172712,448,22.9436808118081,3.06708965639578,22.6,934.945202952029,14.1618603300126,928.8,74.2758302583026,13.4714837264201,78
"S6","Control","Night",468.702606635071,61.9343007149939,447,21.1564573459716,1.56860487481431,21.1,932.944164691943,12.6556469614621,927.7,77.9152843601896,13.2322588013454,80
"S6","Elevated","Afternoon",469.938764352105,78.5082928538839,434,25.0744669218152,2.23029881980609,24.9,937.240896664844,20.98816876432,928.9,69.0841990158557,12.1657281598103,71
"S6","Elevated","Evening",448.890476190476,36.8022114788937,432,22.8659523809524,1.5615410003274,23.3,932.968333333333,9.63060017206692,929,75.1726190476191,13.8033166212846,74
"S6","Elevated","Morning",467.246540422433,69.6286430920971,437,22.4232337946103,2.99051065592605,22.1,935.929315367808,12.3781037963429,931.5,78.7680262199563,13.9821540265143,82
"S6","Elevated","Night",452.366073255576,56.2250246458613,436,21.2156365124847,1.38906427643312,20.9,933.882623823168,10.0503646212452,930.6,81.6187065083913,11.7449930552551,84
"S6","Source","Afternoon",506.935684647303,63.5000968240125,479,28.4616874135546,4.8001137156881,27.5,924.499861687414,5.54275860842207,927.2,75.4370677731674,13.2193570235401,71
"S6","Source","Evening",494.555555555556,55.1521069996963,477,26.5091666666667,3.86477971599021,26.1,934.148194444444,10.9348378240156,929.7,78.6625,12.3661674201036,72
"S6","Source","Morning",496.172938350681,57.5511309659815,478,23.5430744595677,2.3551463080282,23.2,933.199199359488,9.71081125270749,931.4,82.4391513210568,9.68435048795574,81
"S6","Source","Night",477.978713968958,48.8284934134427,470,22.8624611973392,1.27914284000076,22.7,938.650499001996,10.108939565269,931.8,82.6455976935019,9.32956280002087,83
"N1","Control","24hr",491.340805395755,13.2294351966004,492,21.0838722475699,0.957402116274822,20.8,947.41876984127,1.32522089978389,947.4,98.0496031746032,2.14134398905223,99
"N1","Elevated","24hr",484.78511371468,37.6929170485305,474,21.8624810475534,1.45757896552544,21.2,972.22511717673,33.5047455614049,950.8,80.3789633305762,24.3493328090412,96
"N3","Control","24hr",541.305055137024,134.96542619242,481,23.1234850966263,1.93595869043526,22.8,984.606747461513,27.4569303638664,968.7,74.6845725515886,22.6338963947445,84
"N3","Elevated","24hr",570.808338863083,126.525452230286,514,23.1116788321168,2.11035775564238,22.6,983.99796505198,26.7725907647075,969.2,75.7722848927229,21.8882849358064,84
"N4","Control","24hr",513.24882629108,140.333854547411,447,23.2444371656294,2.07878808731064,22.6,969.614801163919,7.98248884660082,968.4,74.5302980674746,20.5231197224279,76
"N4","Elevated","24hr",546.48700154219,125.037178107237,493,23.1690460453844,1.94612639554125,22.6,985.065135492399,27.4151246130712,968.9,74.4505397664684,21.7150852150224,80
"N7","Control","24hr",487.740579135264,17.2572210893879,487,21.6449712358659,1.38154610744264,21.1,951.746498710573,1.33884431790542,951.7,94.6486808172982,5.8755076397946,98
"N7","Elevated","24hr",518.560621142743,17.4428650910632,518,21.4737607007764,1.22462956633571,21,NA,NA,NA,95.9806728704366,4.39112346388267,99
"S1","Control","24hr",548.605952137451,172.991640475775,451,23.6459138795131,2.89936712257795,23.3,945.677672087552,23.3456203285461,931.9,68.5440319116293,15.7529557609624,72
"S1","Elevated","24hr",564.812788744225,182.954485939751,458,23.1168101637967,2.50048107715675,22.9,946.29997900042,22.5682368263718,933.7,71.0316043679126,14.6416665140212,75
"S3","Control","24hr",488.175987956342,18.2870454098577,487,20.8916597666541,2.00941055949459,20.4,925.651407708522,19.4215906769214,921,86.5783649503162,13.2149329060618,92
"S3","Elevated","24hr",468.605351875263,20.895098626305,466,21.0502317741256,1.82685157718306,20.6,926.236571147633,20.3734755115151,921.2,85.2750386290209,13.1826843628496,89
"S3","Source","24hr",473.585284280936,21.6951147847067,468,21.6225566703828,3.27269271691301,20.7,928.306926793014,12.1806088368117,923.2,83.3428465254552,12.5589954595276,85
"S4","Control","24hr",450.399024584453,11.670271332425,450,20.3375435453369,1.79668602886338,19.9,915.389449586941,1.38173870075734,915.5,87.2936199860655,8.46968702796585,90
"S4","Elevated","24hr",463.438963276173,16.9415115551245,463,20.6430271709341,2.50073922617599,19.9,916.281111981206,14.4138296688982,913.3,87.1574001566171,12.8175985022104,92
"S4","Source","24hr",454.289831206258,21.1373024809719,448,21.7143033596838,3.60585647220815,20.4,922.187483530962,14.9425319782217,915.2,81.6353754940711,12.8388469625324,84
"S5","Control","24hr",447.129007633588,15.4262802281367,444,21.0223918575064,1.79214609790142,20.7,924.083778625954,1.49091159299969,924.2,84.8346055979644,8.98060986322075,84
"S5","Elevated","24hr",454.19086520609,26.3096082474215,447,22.3081971778685,2.93425098059445,21.5,933.233921277386,19.4074097251257,926.5,78.4443928704048,13.6749460411183,81
"S5","Source","24hr",447.391813690896,25.4658081825618,443,21.6202258292167,2.05626913356972,21,927.612081863091,3.95214823743286,927.3,84.1501764290755,9.40117107299324,84
"S6","Control","24hr",478.433127572016,68.3334356036186,448,22.5982510288066,2.65931297401434,22.5,934.119637345679,15.4267701152901,927.7,74.2461419753086,13.9717808583906,76
"S6","Elevated","24hr",459.168899242865,63.7497581062678,436,22.3572857004174,2.51624712286349,22.1,934.949946607126,13.2861289535351,930.6,78.1075623725852,13.4327046951211,81
"S6","Source","24hr",488.798016132549,55.4437130039464,473,24.2165358622193,3.37533459480925,23.3,934.581947018424,10.7149582546887,930.9,81.1404120789273,10.7245024609807,80
