"site_treatment","depth","sample_id.soil","total_c_ug.soil","total_n_ug.soil","site_id_soils","zone","treatment","sample_id.roots","Site","Treatment","total_c_ug.roots.litter","total_n_ug.roots.litter"
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO24root15","N1","CO2",539.42,37.93
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO28root15","N1","CO2",1008.79,50.19
"N1-CO2","15","N1-CO2-3-soil-15",1349.63,125.64,"N1","north","CO2","N1CO21root15","N1","CO2",803.33,40.51
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO210root15","N1","CO2",732.46,43.51
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO23root15","N1","CO2",487.44,38.52
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO25root15","N1","CO2",428.67,34.6
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO26root15","N1","CO2",672.74,41.83
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO29root15","N1","CO2",516.65,42.09
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO22root15","N1","CO2",492.98,37.76
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO27root15","N1","CO2",851.61,35.61
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO24root15","N1","CO2",539.42,37.93
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO28root15","N1","CO2",1008.79,50.19
"N1-CO2","15","N1-CO2-9-soil-15",860.55,83.94,"N1","north","CO2","N1CO21root15","N1","CO2",803.33,40.51
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO210root15","N1","CO2",732.46,43.51
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO23root15","N1","CO2",487.44,38.52
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO25root15","N1","CO2",428.67,34.6
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO26root15","N1","CO2",672.74,41.83
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO29root15","N1","CO2",516.65,42.09
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO22root15","N1","CO2",492.98,37.76
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO27root15","N1","CO2",851.61,35.61
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO24root15","N1","CO2",539.42,37.93
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO28root15","N1","CO2",1008.79,50.19
"N1-CO2","15","N1-CO2-4-soil-15",1061.83,96.83,"N1","north","CO2","N1CO21root15","N1","CO2",803.33,40.51
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO210root30","N1","CO2",628.44,44.36
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO22root30","N1","CO2",502.64,39.61
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO26root30","N1","CO2",684.68,44.91
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO23root30","N1","CO2",850.34,33.52
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO28root30","N1","CO2",493.66,32.76
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO27root30","N1","CO2",287.84,25.29
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO24root30","N1","CO2",603.52,45.39
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO29root30","N1","CO2",317.21,25.89
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO21root30","N1","CO2",354.36,26.45
"N1-CO2","30","N1-CO2-10-soil-30",901.44,82.15,"N1","north","CO2","N1CO25root30","N1","CO2",701.87,31.93
